timestep,timestamp_ns,elapsed_s,qpos_left_j1,qpos_left_j2,qpos_left_j3,qpos_left_j4,qpos_left_j5,qpos_left_j6,qpos_left_gripper,qpos_right_j1,qpos_right_j2,qpos_right_j3,qpos_right_j4,qpos_right_j5,qpos_right_j6,qpos_right_gripper,qvel_left_j1,qvel_left_j2,qvel_left_j3,qvel_left_j4,qvel_left_j5,qvel_left_j6,qvel_left_gripper,qvel_right_j1,qvel_right_j2,qvel_right_j3,qvel_right_j4,qvel_right_j5,qvel_right_j6,qvel_right_gripper,action_left_j1,action_left_j2,action_left_j3,action_left_j4,action_left_j5,action_left_j6,action_left_gripper,action_right_j1,action_right_j2,action_right_j3,action_right_j4,action_right_j5,action_right_j6,action_right_gripper
416,2143657249931,13.759830222,0.0,1.234768033027649,-1.527704119682312,1.1177786588668823,0.06850416958332062,-0.007120943162590265,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6265759468078613,-0.4651308059692383,-0.388336181640625,0.0,-0.3560471534729004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2250640392303467,-1.5351043939590454,1.1053519248962402,0.06850416958332062,-0.009285151958465576,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,2143689854332,13.792434623,0.0,1.2250640392303467,-1.5351043939590454,1.1053519248962402,0.06850416958332062,-0.009285151958465576,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4851996898651123,-0.3700137138366699,-0.6213366985321045,0.0,-0.10821044445037842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2121137380599976,-1.5448781251907349,1.0901850461959839,0.06850416958332062,-0.01061160210520029,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,2143723418554,13.825998845,0.0,1.2121137380599976,-1.5448781251907349,1.0901850461959839,0.06850416958332062,-0.01061160210520029,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.647515058517456,-0.48868656158447266,-0.7583439350128174,0.0,-0.06632250547409058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199023723602295,-1.554233193397522,1.0792417526245117,0.06850416958332062,-0.01218239776790142,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,2143756479925,13.859060216,0.0,1.199023723602295,-1.554233193397522,1.0792417526245117,0.06850416958332062,-0.01218239776790142,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6545007228851318,-0.46775341033935547,-0.5471646785736084,0.0,-0.07853978127241135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1839091777801514,-1.5628026723861694,1.0676004886627197,0.06850416958332062,-0.019390607252717018,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,2143789928540,13.892508831,0.0,1.1839091777801514,-1.5628026723861694,1.0676004886627197,0.06850416958332062,-0.019390607252717018,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7557272911071777,-0.42847394943237305,-0.5820631980895996,0.0,-0.3604104816913605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1674158573150635,-1.568527340888977,1.0543359518051147,0.06850416958332062,-0.026686083525419235,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,2143823961108,13.926541399,0.0,1.1674158573150635,-1.568527340888977,1.0543359518051147,0.06850416958332062,-0.026686083525419235,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8246660232543945,-0.28623342514038086,-0.663226842880249,0.0,-0.36477380990982056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.149735689163208,-1.5721228122711182,1.0408096313476562,0.06850416958332062,-0.031869713217020035,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,2143857539134,13.960119425,0.0,1.149735689163208,-1.5721228122711182,1.0408096313476562,0.06850416958332062,-0.031869713217020035,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8840084075927734,-0.17977356910705566,-0.6763160228729248,0.0,-0.25918149948120117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1342545747756958,-1.573518991470337,1.0300933122634888,0.06850416958332062,-0.036425020545721054,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,2143890017762,13.992598053,0.0,1.1342545747756958,-1.573518991470337,1.0300933122634888,0.06850416958332062,-0.036425020545721054,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7740557193756104,-0.0698089599609375,-0.535815954208374,0.0,-0.22776536643505096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1151082515716553,-1.5731874704360962,1.0195341110229492,0.06850416958332062,-0.040282197296619415,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,2143923581066,14.026161357,0.0,1.1151082515716553,-1.5731874704360962,1.0195341110229492,0.06850416958332062,-0.040282197296619415,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9573161602020264,0.016576051712036133,-0.5279600620269775,0.0,-0.19285884499549866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095246434211731,-1.5731874704360962,1.0138617753982544,0.06850416958332062,-0.04178318381309509,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,2143957456900,14.060037191,0.0,1.095246434211731,-1.5731874704360962,1.0138617753982544,0.06850416958332062,-0.04178318381309509,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9930908679962158,0.0,-0.2836167812347412,0.0,-0.07504932582378387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0788753032684326,-1.5750200748443604,1.0066709518432617,0.06850416958332062,-0.04167846217751503,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
